"region","depot","item_no","tms","ams","month","year"
"SW","ADO EKITI","10056877",39.5551612903226,19.7775806451613,10,2022
"SW","ADO EKITI","10056877",38.6540666666667,19.3270333333333,11,2022
"SW","ADO EKITI","10056877",21.7864761904762,10.8932380952381,12,2022
"SW","ADO EKITI","10063228",0,0,1,2022
"SW","ADO EKITI","10063228",0,0,2,2022
"SW","ADO EKITI","10063228",0,0,3,2022
"SW","ADO EKITI","10063228",0,0,4,2022
"SW","ADO EKITI","10063228",0,0,5,2022
"SW","ADO EKITI","10063228",0,0,6,2022
"SW","ADO EKITI","10063228",0,0,7,2022
"SW","ADO EKITI","10063228",0,0,8,2022
"SW","ADO EKITI","10063228",0,0,9,2022
"SW","ADO EKITI","10063228",0,0,10,2022
"SW","ADO EKITI","10063228",0,0,11,2022
"SW","ADO EKITI","10063228",0,0,12,2022
"SW","ADO EKITI","10080907",261.7238,130.8619,1,2022
"SW","ADO EKITI","10080907",174.495714285714,87.2478571428571,2,2022
"SW","ADO EKITI","10080907",121.526967741935,60.7634838709677,3,2022
"SW","ADO EKITI","10080907",195.250866666667,97.6254333333333,4,2022
"SW","ADO EKITI","10080907",186.054774193548,93.0273870967742,5,2022
"SW","ADO EKITI","10080907",141.4222,70.7111,6,2022
"SW","ADO EKITI","10080907",63.5127096774194,31.7563548387097,7,2022
"SW","ADO EKITI","10080907",62.4914193548387,31.2457096774194,8,2022
"SW","ADO EKITI","10080907",128.8258,64.4129,9,2022
"SW","ADO EKITI","10080907",206.730193548387,103.365096774194,10,2022
"SW","ADO EKITI","10080907",219.121333333333,109.560666666667,11,2022
"SW","ADO EKITI","10080907",224.463904761905,112.231952380952,12,2022
"SW","ADO EKITI","10081184",0,0,1,2022
"SW","ADO EKITI","10081184",0,0,2,2022
"SW","ADO EKITI","10081184",0,0,3,2022
"SW","ADO EKITI","10081184",0,0,4,2022
"SW","ADO EKITI","10081184",0,0,5,2022
"SW","ADO EKITI","10081184",0,0,6,2022
"SW","ADO EKITI","10081184",0,0,7,2022
"SW","ADO EKITI","10081184",0,0,8,2022
"SW","ADO EKITI","10081184",0,0,9,2022
"SW","ADO EKITI","10081184",0,0,10,2022
"SW","ADO EKITI","10081184",0,0,11,2022
"SW","ADO EKITI","10081184",0,0,12,2022
"SW","ADO EKITI","10090361",0,0,1,2022
"SW","ADO EKITI","10090361",0,0,2,2022
"SW","ADO EKITI","10090361",0,0,3,2022
"SW","ADO EKITI","10090361",0,0,4,2022
"SW","ADO EKITI","10090361",0,0,5,2022
"SW","ADO EKITI","10090361",0,0,6,2022
"SW","ADO EKITI","10090361",0,0,7,2022
"SW","ADO EKITI","10090361",0,0,8,2022
"SW","ADO EKITI","10090361",0,0,9,2022
"SW","ADO EKITI","10090361",0,0,10,2022
"SW","ADO EKITI","10090361",0,0,11,2022
"SW","ADO EKITI","10090361",0,0,12,2022
"SW","ADO EKITI","10097797",0,0,1,2022
"SW","ADO EKITI","10097797",0,0,2,2022
"SW","ADO EKITI","10097797",0,0,3,2022
"SW","ADO EKITI","10097797",0,0,4,2022
"SW","ADO EKITI","10097797",0,0,5,2022
"SW","ADO EKITI","10097797",0,0,6,2022
"SW","ADO EKITI","10097797",0,0,7,2022
"SW","ADO EKITI","10097797",0,0,8,2022
"SW","ADO EKITI","10097797",0,0,9,2022
"SW","ADO EKITI","10097797",0,0,10,2022
"SW","ADO EKITI","10097797",0,0,11,2022
"SW","ADO EKITI","10097797",0,0,12,2022
"SW","ADO EKITI","10098890",0,0,1,2022
"SW","ADO EKITI","10098890",0,0,2,2022
"SW","ADO EKITI","10098890",0,0,3,2022
"SW","ADO EKITI","10098890",0,0,4,2022
"SW","ADO EKITI","10098890",0,0,5,2022
"SW","ADO EKITI","10098890",0,0,6,2022
"SW","ADO EKITI","10098890",0,0,7,2022
"SW","ADO EKITI","10098890",0,0,8,2022
"SW","ADO EKITI","10098890",0,0,9,2022
"SW","ADO EKITI","10098890",0,0,10,2022
"SW","ADO EKITI","10098890",0,0,11,2022
"SW","ADO EKITI","10098890",0,0,12,2022
"SW","ADO EKITI","108880",65.3916,32.6958,1,2022
"SW","ADO EKITI","108880",55.3014285714286,27.6507142857143,2,2022
"SW","ADO EKITI","108880",20.4148387096774,10.2074193548387,3,2022
"SW","ADO EKITI","108880",16.5044,8.2522,4,2022
"SW","ADO EKITI","108880",33.3481290322581,16.674064516129,5,2022
"SW","ADO EKITI","108880",44.4328666666667,22.2164333333333,6,2022
"SW","ADO EKITI","108880",28.8978709677419,14.448935483871,7,2022
"SW","ADO EKITI","108880",11.1294838709677,5.56474193548387,8,2022
"SW","ADO EKITI","108880",16.9738666666667,8.48693333333333,9,2022
"SW","ADO EKITI","108880",18.7256129032258,9.3628064516129,10,2022
"SW","ADO EKITI","108880",18.0812666666667,9.04063333333334,11,2022
"SW","ADO EKITI","108880",29.8461904761905,14.9230952380952,12,2022
"SW","ADO EKITI","10980611",0.08,0.04,1,2022
"SW","ADO EKITI","10980611",0.104285714285714,0.0521428571428571,2,2022
"SW","ADO EKITI","10980611",0.151612903225806,0.0758064516129032,3,2022
"SW","ADO EKITI","10980611",6.012,3.006,4,2022
"SW","ADO EKITI","10980611",18.1643870967742,9.0821935483871,5,2022
"SW","ADO EKITI","10980611",20.0706666666667,10.0353333333333,6,2022
"SW","ADO EKITI","10980611",7.22064516129032,3.61032258064516,7,2022
"SW","ADO EKITI","10980611",4.68658064516129,2.34329032258064,8,2022
"SW","ADO EKITI","10980611",4.819,2.4095,9,2022
"SW","ADO EKITI","10980611",2.20935483870968,1.10467741935484,10,2022
